year,month,interest,unemployment,price
2021,12,2.75,5.3,1464
2021,11,2.5,5.3,1394
2021,10,2.5,5.3,1357
2021,9,2.5,5.3,1293
2021,8,2.5,5.4,1256
2021,7,2.5,5.6,1254
2021,6,2.5,5.5,1234
2021,5,2.25,5.5,1195
2021,4,2.25,5.5,1159
2021,3,2.25,5.6,1167
2021,2,2,5.7,1130
2021,1,2,5.9,1075
2020,12,2,6,1047
2020,11,1.75,5.9,965
2020,10,1.75,5.8,943
2020,9,1.75,6.1,958
2020,8,1.75,6.2,971
2020,7,1.75,6.1,949
2020,6,1.75,6.1,884
2020,5,1.75,6.1,866
2020,4,1.75,5.9,876
2020,3,1.75,6.2,822
2020,2,1.75,6.2,704
2020,1,1.75,6.1,719
